Company Name	Website	Mode	Size	What is local?	Maker connection	Address	City	Lat	Long	Notes	Wikipedia Page	Twitter	Facebook	YouTube	Instagram	Flikr	LinkedIn	TikTok	Phone
Interconnect Systems (Molex)	https://www.isipkg.com/	Office		HQ	electronics		Camarillo			Makes digitizer boards	https://en.wikipedia.org/wiki/Molex	https://twitter.com/isipkg	-	https://www.youtube.com/channel/UCj7-oRypXfbZGtjPvUdsG5A	-	-	https://www.linkedin.com/company/interconnect-systems-inc.	-	(805) 482-2870
ATM Part Mart	https://atmpartmart.com/	Retail		HQ	electronics, CNC	733 Lakefield Rd Suite AA Westlake Village, CA 91361	Weslake Village	34.1576179	-118.8307406	Has CNC, might be willing to let others use it	-	https://www.twitter.com/ATMPartMart	https://www.facebook.com/ATMPartMart		-	-	https://www.linkedin.com/company/atmpartmart.com		(866) 417-2286  (805) 381-0806
Rollocam	https://rollocam.com/	Online		Employee?	electronics		CV?				-	https://twitter.com/Rollocam_	https://www.facebook.com/Rollocam/	https://www.youtube.com/channel/UCpA75FwCXSINUBWGKQXvpjA	https://www.instagram.com/rollocam/	-	-	-	-
Planet Zuda	http://planetzuda.com/	Consulting	tiny	HQ	cybersecurity		Camarillo				-	https://twitter.com/planetzuda	https://www.facebook.com/planetzuda	-	-	-	-	-	-
Direct Suggest	https://www.DirectSuggest.com	?		HQ	Startup						-	https://twitter.com/DirectSuggest	-	https://www.youtube.com/channel/UCI4UaVbfKpCadfKdizA9d8g	https://www.instagram.com/directsuggest/	-	https://www.linkedin.com/company/directsuggest	-	-
Minimus	https://minimus.biz	Office, Warehouse	Medium	HQ	Startup, shipping, logistics		Thousand Oaks, Camarillo			Ships 250k products from TO warehouse. Creates many influencer products.	-	https://twitter.com/minimusbiz	https://www.facebook.com/Minimus.biz	https://www.youtube.com/channel/UCel9EYLAfxDmY-2EIsngQSw	https://www.instagram.com/minimusbiz/	-	https://www.linkedin.com/company/minimus.biz	-	805-480-1415
Art Studio Live	artstudiolive.com	Online?		HQ	Arts & Crafts						-	-	https://www.facebook.com/artstudiolivegallery/		https://www.instagram.com/artstudiolive/	-	https://www.linkedin.com/company/art-studio-live	-	-
Matter Labs	https://www.matterlabs.co/	Consulting		HQ	Community leaders		Camarillo			Connectors, involved in lots of cool projects	-	https://twitter.com/matterlabsinc	https://www.facebook.com/MatterLabs/		-	-	https://www.linkedin.com/company/matter-labs	-	-
Laritech, Inc	https://www.laritech.com/	Office, Consulting		HQ	PCB						-	-	https://www.facebook.com/Laritech.Inc		-	-	https://www.linkedin.com/company/laritech-inc	-	805-529-5000  
Alcove Electronic Services	http://www.alcoveelectronics.com/	Office?, Consulting?		HQ	Electronics	31316 Via Colinas #114, Westlake Village, CA 91362	Westlake Village	34.15640662	-118.8063555		-	-	https://m.facebook.com/alcove.EMS/?_rdr		-	-	-	-	(818) 707-9093
