Company Name	Website	Do	What	Market (For)	What is local?	Maker connection	Size	Address	City	State	Zip	Lat	Long	Notes	Wikipedia Page	Twitter	Facebook	YouTube	Instagram	Flikr	LinkedIn	TikTok	Pintrest	Phone
A Hidden Fortress	https://www.ahiddenfortress.com/	Retail	Games, Comics	Geeks	HQ	Games	Medium	1960 Sequoia Avenue, Unit #10	Simi Valley	CA	93063	34.2714266	-118.7313708	Retail store selling Card Games	-	https://twitter.com/ahiddenfortress		-	-	-	-	-		805-526-6457
AdaFruit	https://adafruit.com/	Online Retail	Electronics	Consumers	remote	Electronics, sensors	Big					40.7259756	-74.0079504	Electronics, sensors for makers	https://en.wikipedia.org/wiki/Adafruit_Industries	https://twitter.com/adafruit/	https://www.facebook.com/adafruitindustries	https://www.youtube.com/adafruit	https://www.instagram.com/adafruit/	https://www.flickr.com/photos/adafruit/	https://www.linkedin.com/company/adafruit	https://www.tiktok.com/@adafruit		-
AeroVironment	https://www.avinc.com/	Consulting	Electronics	B2B	Branch	Local branch, tech	Large	14501 Princeton Ave	Moorpark	CA	93021	34.28763414	-118.8624254	Local HQ, STEM, helped build the Mars Rover Helicopter	https://en.wikipedia.org/wiki/AeroVironment	https://twitter.com/aerovironment	https://www.facebook.com/aerovironmentinc	https://www.youtube.com/user/AeroVironmentInc	https://www.instagram.com/aerovironmentinc		https://www.linkedin.com/company/aerovironment	-		-
Alcatel-Lucent Enterprise	http://www.al-enterprise.com/	Create	Hardware/Software	B2B, B2C	HQ (US)	Local branch, Tech	Large	2000 Corporate Center Drive	Thousand Oaks	CA	91301	34.13935675	-118.7104745	Local HQ (for US), STEM	https://en.wikipedia.org/wiki/Alcatel-Lucent	https://twitter.com/ALUEnterprise	https://www.facebook.com/ALUEnterprise	https://www.youtube.com/user/EnterpriseALU	https://www.instagram.com/alcatel_lucent_enterprise/?hl=en	https://www.flickr.com/photos/alcatel-lucent/	https://www.linkedin.com/company/alcatellucententerprise	-		18188784500
Alcove Electronic Services	http://www.alcoveelectronics.com/	Manufacture + Consulting	Custom PCBs	Makers	HQ	Electronics design	Medium	31316 Via Colinas #114	Westlake Village	CA		34.15640662	-118.8063555		-	-	https://m.facebook.com/alcove.EMS/?_rdr		-	-	-	-		(818) 707-9093
All Electronics	https://www.allelectronics.com/	Retail	Electronics	Makers	remote	Semi-Local, Tech, Maker	Medium	14928 Oxnard St	Van Nuys	CA	91411	34.1792105	-118.4606284	Nearby: Tons of surplus electronics equipment	-	https://twitter.com/AllElectronicsC	https://www.facebook.com/allelectronics		https://www.instagram.com/allelectronicscorp/		https://www.linkedin.com/company/all-electronic	-		818-904-0524 (customer service)
Amazon DOT4 (warehouse)	https://amazon.com/	Distribute	Everything	Consumers	Branch	Local Branch	Large	3001 Mission Oaks Blvd	Camarillo	CA	93012	34.2170633	-119.0437961	Amazon warehouse, local pickup/dropoff										
Amgen	https://www.amgen.com/	Create	Medical	Consumers	HQ	STEM	Large	One Amgen Center Drive	Thousand Oaks	CA	91320-1799	34.1892288	-118.9231888	Local HQ, Pharma company, many STEM jobs	https://en.wikipedia.org/wiki/Amgen	http://www.twitter.com/amgen	https://www.facebook.com/amgenbiotech/	https://www.youtube.com/user/Amgen	https://www.instagram.com/amgenbiotech/		https://www.linkedin.com/company/amgen	https://www.tiktok.com/@amgenbiotech		805-447-1000
Apex Surplus	https://www.apexsurplus.com/	Retail	Electronics	Makers	remote	Semi-Local, Tech, Maker, Props	Medium	8909 San Fernando Rd	Sun Valley	CA	91352	34.2303382	-118.3867247	Nearby: Tons of surplus electronics equipment, fascinating Movie Props	-	-	https://www.facebook.com/ApexSurplus/	-	https://www.instagram.com/apexsurplus/	-	https://www.linkedin.com/company/apex-surplus-corporation?trk=public_profile_topcard-current-company	-		(818) 767-7202
Applied Wireless	http://www.appliedwireless.com/	Create	RF Wireless	B2B	HQ	STEM	Medium	1250 Avenida Acaso	Camarillo	CA	93012	34.22922078	-119.011037	Designing and manufacturing wireless products for unlicensed use for the past decade.	-	-	-	-	-	-	https://www.linkedin.com/company/applied-wireless-inc.	-		(805) 383-9600
Aptiv	https://www.aptiv.com/	Create	Car Parts	Car OEMs	Branch	STEM	Large	5137 Clareton Dr #220v	Agoura Hills	CA	91301	34.146868	-118.754245	STEM? Consulting	https://en.wikipedia.org/wiki/Aptiv	https://twitter.com/aptiv	https://facebook.com/aptiv	https://www.youtube.com/aptiv	https://instagram.com/aptiv		https://linkedin.com/company/aptiv			-
Arcox Engineering	http://arcox.com/	Consulting	Electronic Systems	B2B	HQ	STEM, Electronics Design	Small	1336 N. Moorpark Rd. PMB 236	Thousand Oaks	CA	91360	34.19446513	-118.8794018	Consulting, electronics design, PIC	-	-	-	-	-	-	https://www.linkedin.com/company/arcox-engineering	-		(805) 490-6507
Arrow Electronics Inc﻿	https://arrow.com	Online Retail	Electronics Parts	Makers	remote	STEM	Big	20935 Warner Center Ln A	Woodland Hills	CA	91367	34.1754142	-118.5923205	Computer chip retail	https://en.wikipedia.org/wiki/Arrow_Electronics	https://twitter.com/Arrow_dot_com	https://www.facebook.com/ArrowDotCom	https://www.youtube.com/channel/UCPyQ-SpXmUVEyEzC_4s4pQA	https://www.instagram.com/arrowelectronics/?hl=hr	-	https://www.linkedin.com/company/arrow-electronics	-		18553264757
